nombre;telefono;ciudad;pais;
Marta's Replicas Co.;6175558555;Cambridge;USA;
BG&E Collectables;+41 26 425 50 01;Fribourg;Switzerland;
Vida Sport, Ltd;0897-034555;Genève;Switzerland;
Norway Gifts By Mail, Co.;+47 2212 1555;Oslo;Norway  ;
Schuyler Imports;+31 20 491 9555;Amsterdam;Netherlands;
Der Hund Imports;030-0074555;Berlin;Germany;
Oulu Toy Supplies, Inc.;981-443655;Oulu;Finland;
Petit Auto;(02) 5554 67;Bruxelles;Belgium;
Mini Classics;9145554562;White Plains;USA;
Mini Creations Ltd.;5085559555;New Bedford;USA;
Corporate Gift Ideas Co.;6505551386;San Francisco;USA;
Down Under Souveniers, Inc;+64 9 312 5555;Auckland  ;New Zealand;
Stylish Desk Decors, Co.;(171) 555-0297;London;UK;
Tekni Collectables Inc.;2015559350;Newark;USA;
Australian Gift Network, Co;61-7-3844-6555;South Brisbane;Australia;
Suominen Souveniers;+358 9 8045 555;Espoo;Finland;
Cramer Spezialitäten, Ltd;0555-09555;Brandenburg;Germany;
Classic Gift Ideas, Inc;2155554695;Philadelphia;USA;
CAF Imports;+34 913 728 555;Madrid;Spain;
Men 'R' US Retailers, Ltd.;2155554369;Los Angeles;USA;
Asian Treasures, Inc.;2967 555;Cork;Ireland;
Marseille Mini Autos;91.24.4555;Marseille;France;
Reims Collectables;26.47.1555;Reims;France;
SAR Distributors, Co;+27 21 550 3555;Hatfield;South Africa;
GiftsForHim.com;64-9-3763555;Auckland;New Zealand;
Kommission Auto;0251-555259;Münster;Germany;
Gifts4AllAges.com;6175559555;Boston;USA;
Online Diecast Creations Co.;6035558647;Nashua;USA;
Lisboa Souveniers, Inc;(1) 354-2555;Lisboa;Portugal;
Precious Collectables;0452-076555;Bern;Switzerland;
Collectables For Less Inc.;6175558555;Brickhaven;USA;
Royale Belge;(071) 23 67 2555;Charleroi;Belgium;
Salzburg Collectables;6562-9555;Salzburg;Austria;
Cruz & Sons Co.;+63 2 555 3587;Makati City;Philippines;
L'ordine Souveniers;0522-556555;Reggio Emilia;Italy;
Tokyo Collectables, Ltd;+81 3 3584 0555;Minato-ku;Japan;
Auto Canal+ Petit;(1) 47.55.6555;Paris;France;
Stuttgart Collectable Exchange;0711-555361;Stuttgart;Germany;
Extreme Desk Decorations, Ltd;04 499 9555;Wellington;New Zealand;
Bavarian Collectables Imports, Co.; +49 89 61 08 9555;Munich;Germany;
Classic Legends Inc.;2125558493;NYC;USA;
Feuer Online Stores, Inc;0342-555176;Leipzig;Germany;
Gift Ideas Corp.;2035554407;Glendale;USA;
Scandinavian Gift Ideas;0695-34 6555;Bräcke;Sweden;
The Sharp Gifts Warehouse;4085553659;San Jose;USA;
Mini Auto Werke;7675-3555;Graz;Austria;
Super Scale Inc.;2035559545;New Haven;USA;
Microscale Inc.;2125551957;NYC;USA;
Corrida Auto Replicas, Ltd;(91) 555 22 82;Madrid;Spain;
Warburg Exchange;0241-039123;Aachen;Germany;
FunGiftIdeas.com;5085552555;New Bedford;USA;
Anton Designs, Ltd.;+34 913 728555;Madrid;Spain;
Australian Collectables, Ltd;61-9-3844-6555;Glen Waverly;Australia;
Frau da Collezione;+39 022515555;Milan;Italy;
West Coast Collectables Co.;3105553722;Burbank;USA;
Mit Vergnügen & Co.;0621-08555;Mannheim;Germany;
Kremlin Collectables, Co.;+7 812 293 0521;Saint Petersburg;Russia;
Raanan Stores, Inc;+ 972 9 959 8555;Herzlia;Israel;
Iberia Gift Imports, Corp.;(95) 555 82 82;Sevilla;Spain;
Motor Mint Distributors Inc.;2155559857;Philadelphia;USA;
Signal Collectibles Ltd.;4155554312;Brisbane;USA;
Double Decker Gift Stores, Ltd;(171) 555-7555;London;UK;
Diecast Collectables;6175552555;Boston;USA;
Kelly's Gift Shop;+64 9 5555500;Auckland  ;New Zealand;
Del Valle;34 924556633;Zaftra;Spain;
