; CODIGO   ; NOMBRE             ; CATEGORIA                  ; Pventa ; PCompra ;
; S18_1589 ;1965 Aston Martin DB5 ;Classic Cars ;65.96 ;124.44 ;
; S18_2325 ;1932 Model A Ford J-Coupe ;Vintage Cars ;58.48 ;127.13 ;
; S24_2300 ;1962 Volkswagen Microbus ;Trucks and Buses ;61.34 ;127.79 ;
; S18_2870 ;1999 Indy 500 Monte Carlo SS ;Classic Cars ;56.76 ;132.00 ;
; S10_4757 ;1972 Alfa Romeo GTA ;Classic Cars ;85.68 ;136.00 ;
; S18_3140 ;1903 Ford Model A ;Vintage Cars ;68.30 ;136.59 ;
; S12_1666 ;1958 Setra Bus ;Trucks and Buses ;77.90 ;136.67 ;
; S24_3856 ;1956 Porsche 356A Coupe ;Classic Cars ;98.30 ;140.43 ;
; S18_3685 ;1948 Porsche Type 356 Roadster ;Classic Cars ;62.16 ;141.28 ;
; S18_1129 ;1993 Mazda RX-7 ;Classic Cars ;83.51 ;141.54 ;
; S18_1984 ;1995 Honda Civic ;Classic Cars ;93.89 ;142.25 ;
; S18_4027 ;1970 Triumph Spitfire ;Classic Cars ;91.92 ;143.62 ;
; S18_3482 ;1976 Ford Gran Torino ;Classic Cars ;73.49 ;146.99 ;
; S10_4962 ;1962 LanciaA Delta 16V ;Classic Cars ;103.42 ;147.74 ;
; S18_4721 ;1957 Corvette Convertible ;Classic Cars ;69.93 ;148.80 ;
; S12_2823 ;2002 Suzuki XREO ;Motorcycles ;66.27 ;150.62 ;
; S12_3148 ;1969 Corvair Monza ;Classic Cars ;89.14 ;151.08 ;
; S18_1662 ;1980s Black Hawk Helicopter ;Planes ;77.27 ;157.69 ;
; S18_2238 ;1998 Chrysler Plymouth Prowler ;Classic Cars ;101.51 ;163.73 ;
; S18_2795 ;1928 Mercedes-Benz SSK ;Vintage Cars ;72.56 ;168.75 ;
; S18_3232 ;1992 Ferrari 360 Spider red ;Classic Cars ;77.90 ;169.34 ;
; S18_1749 ;1917 Grand Touring Sedan ;Vintage Cars ;86.70 ;170.00 ;
; S12_3891 ;1969 Ford Falcon ;Classic Cars ;83.05 ;173.02 ;
; S10_4698 ;2003 Harley-Davidson Eagle Drag Bike ;Motorcycles ;91.02 ;193.66 ;
; S12_1099 ;1968 Ford Mustang ;Classic Cars ;95.34 ;194.57 ;
; S12_1108 ;2001 Ferrari Enzo ;Classic Cars ;95.59 ;207.80 ;
; S10_1949 ;1952 Alpine Renault 1300 ;Classic Cars ;98.58 ;214.30 ;
